model;year;transmission;mileage;fuelType;tax;mpg;engineSize;class
 A1;2017;Manual;15038;Petrol;145;55.4;1.4;B
 A1;2016;Manual;33500;Petrol;30;55.4;1.4;B
 A1;2016;Manual;25600;Petrol;30;55.4;1.4;B
 A1;2016;Manual;32371;Petrol;30;55.4;1.4;B
 A3;2017;Manual;20026;Petrol;20;61.4;1.4;B
 A4;2017;Manual;40075;Petrol;150;51.4;1.4;B
 A4;2016;Manual;44830;Diesel;20;70.6;2.0;B
 A3;2017;Manual;25351;Petrol;20;60.1;1.0;B
 A3;2017;Manual;11800;Diesel;145;70.6;2.0;B
 A6;2015;Manual;25000;Diesel;30;65.7;2.0;B
 A4;2017;Manual;60000;Diesel;145;68.9;2.0;B
 A5;2015;Manual;55000;Diesel;145;53.3;2.0;B
 A3;2015;Manual;39000;Petrol;30;57.6;1.4;B
 A3;2015;Manual;28895;Petrol;30;55.4;1.4;B
 A1;2017;Automatic;27369;Petrol;150;56.5;1.4;B
 A6;2015;Automatic;79197;Diesel;20;67.3;2.0;B
 A3;2016;Manual;30736;Petrol;30;58.9;1.4;B
 Q3;2014;Semi-Auto;50000;Diesel;205;47.9;2.0;B
 A1;2017;Manual;27937;Petrol;30;57.6;1.4;B
 Q3;2016;Manual;42299;Diesel;30;61.4;2.0;B
 Q5;2013;Manual;67376;Diesel;200;47.9;2.0;B
 A3;2016;Semi-Auto;56136;Diesel;125;61.4;2.0;B
 A3;2015;Manual;42977;Diesel;20;67.3;2.0;B
 A4;2015;Manual;27016;Diesel;30;62.8;2.0;B
 A3;2016;Manual;36409;Petrol;20;60.1;1.4;B
 A3;2017;Manual;36400;Petrol;20;61.4;1.4;B
 A1;2017;Manual;12148;Petrol;145;67.3;1.0;B
 A1;2017;Manual;15361;Petrol;30;55.4;1.4;B
 A1;2015;Manual;32065;Petrol;30;55.4;1.4;B
 A3;2016;Manual;40030;Diesel;0;83.1;1.6;B
 A1;2017;Manual;25552;Petrol;30;56.5;1.4;B
 A1;2014;Semi-Auto;15300;Petrol;125;53.3;1.4;B
 Q3;2015;Manual;35446;Diesel;145;54.3;2.0;B
 A1;2016;Manual;8577;Petrol;30;55.4;1.4;B
 A1;2016;Manual;31031;Petrol;30;56.5;1.4;B
 A1;2017;Manual;15981;Petrol;145;57.6;1.4;B
 A4;2016;Manual;41279;Diesel;0;74.3;2.0;B
 Q3;2015;Manual;35446;Diesel;145;54.3;2.0;B
 A3;2016;Manual;40050;Diesel;20;68.9;1.6;B
 A4;2015;Manual;55036;Diesel;125;58.9;2.0;B
 A3;2015;Semi-Auto;45300;Diesel;125;58.9;2.0;B
 A6;2017;Manual;47000;Diesel;30;65.7;2.0;B
 A4;2017;Semi-Auto;70580;Diesel;145;70.6;2.0;B
 Q3;2016;Semi-Auto;58406;Petrol;145;47.9;1.4;B
 A4;2016;Semi-Auto;56615;Diesel;20;70.6;2.0;B
 Q3;2015;Manual;41000;Diesel;30;61.4;2.0;B
 A1;2018;Manual;8413;Petrol;150;56.5;1.4;B
 A3;2014;Manual;62049;Diesel;20;68.9;2.0;B
 A3;2016;Semi-Auto;24465;Petrol;30;58.9;1.4;B
 A3;2016;Semi-Auto;30352;Petrol;30;58.9;1.4;B
 A3;2014;Manual;22800;Petrol;30;55.4;1.4;B
 TT;2015;Manual;39000;Diesel;20;67.3;2.0;B
 A4;2015;Semi-Auto;35670;Diesel;125;58.9;2.0;B
 A3;2016;Manual;43146;Diesel;20;65.7;2.0;B
 A3;2016;Manual;37350;Petrol;20;60.1;1.4;B
 A1;2018;Manual;11799;Petrol;150;47.9;1.0;B
 A3;2015;Manual;41354;Petrol;125;52.3;1.4;B
 A4;2016;Manual;83020;Diesel;30;64.2;2.0;B
 A3;2017;Manual;13291;Diesel;145;74.3;1.6;B
 A3;2015;Automatic;40000;Diesel;125;61.4;2.0;B
 A3;2016;Manual;31558;Petrol;20;60.1;1.4;B
 A3;2017;Manual;24655;Diesel;145;68.9;1.6;B
 A3;2016;Automatic;18833;Petrol;20;62.8;1.0;B
 A1;2018;Semi-Auto;32000;Petrol;150;57.7;1.4;B
 Q3;2014;Manual;28000;Diesel;135;54.3;2.0;B
 A5;2014;Semi-Auto;52132;Diesel;160;49.6;3.0;B
 A4;2016;Manual;37478;Diesel;0;74.3;2.0;B
 A1;2017;Manual;28752;Petrol;150;58.9;1.4;B
 Q3;2015;Manual;66047;Diesel;145;55.4;2.0;B
 TT;2015;Manual;61410;Diesel;30;62.8;2.0;B
 A4;2016;Manual;19285;Petrol;125;53.3;1.4;B
 A4;2016;Manual;38405;Diesel;0;74.3;2.0;B
 Q3;2015;Manual;76861;Diesel;145;52.3;2.0;B
 A6;2015;Manual;54847;Diesel;30;64.2;2.0;B
 A3;2016;Manual;19048;Petrol;20;60.1;1.0;B
 Q3;2015;Manual;36964;Diesel;30;61.4;2.0;B
 A4;2016;Semi-Auto;47791;Diesel;0;72.4;2.0;B
 A3;2016;Manual;56457;Diesel;20;67.3;2.0;B
 A1;2017;Semi-Auto;27496;Petrol;150;56.5;1.4;B
 A3;2016;Semi-Auto;28307;Diesel;20;72.4;1.6;B
 A3;2017;Manual;11836;Petrol;20;60.1;1.0;B
 A4;2016;Manual;56141;Diesel;20;68.9;2.0;B
 A3;2014;Manual;35093;Petrol;30;54.3;1.4;B
 A1;2016;Automatic;10104;Petrol;30;57.6;1.4;B
 A3;2018;Manual;19811;Diesel;145;70.6;1.6;B
 TT;2015;Manual;65799;Diesel;20;67.3;2.0;B
 A4;2016;Automatic;79252;Diesel;30;65.7;2.0;B
 Q3;2016;Manual;55689;Diesel;30;60.1;2.0;B
 A3;2017;Manual;18830;Petrol;20;60.1;1.0;B
 Q3;2015;Manual;51034;Diesel;125;60.1;2.0;B
 A3;2017;Manual;18713;Petrol;145;60.1;1.0;B
 A6;2016;Manual;44273;Diesel;30;65.7;2.0;B
 A3;2016;Manual;17363;Petrol;20;60.1;1.4;B
 Q5;2011;Automatic;59986;Petrol;300;33.2;2.0;B
 Q5;2013;Automatic;50111;Diesel;200;47.1;2.0;B
 A1;2017;Manual;12290;Petrol;30;55.4;1.4;B
 A6;2014;Automatic;51400;Diesel;150;56.5;2.0;B
 A6;2015;Manual;61176;Diesel;30;62.8;2.0;B
 Q3;2017;Manual;67161;Petrol;150;51.4;1.4;B
 A1;2017;Manual;12577;Petrol;30;58.9;1.4;B
 A3;2017;Manual;43990;Petrol;20;60.1;1.0;B
 Q3;2014;Manual;41605;Petrol;145;47.9;1.4;B
 A4;2016;Manual;27515;Petrol;125;53.3;1.4;B
 A4;2016;Manual;51877;Diesel;20;72.4;2.0;B
 A3;2016;Manual;26500;Petrol;30;56.5;1.2;B
 A1;2018;Manual;20521;Petrol;150;47.9;1.0;B
 A1;2016;Automatic;12942;Diesel;20;72.4;1.6;B
 A3;2017;Manual;34668;Diesel;150;68.9;1.6;B
 A6;2015;Automatic;114520;Diesel;30;64.2;2.0;B
 A3;2016;Semi-Auto;54425;Petrol;30;57.6;1.4;B
 A3;2016;Manual;18725;Petrol;20;61.4;1.4;B
 A3;2017;Automatic;47098;Diesel;145;70.6;1.6;B
 A3;2017;Manual;42235;Petrol;145;60.1;1.4;B
 A5;2014;Manual;53460;Diesel;30;60.1;2.0;B
 A3;2016;Manual;31446;Petrol;20;58.9;1.4;B
 A4;2016;Manual;48860;Diesel;20;70.6;2.0;B
 TT;2012;Semi-Auto;56441;Petrol;265;36.7;2.0;B
 A6;2014;Automatic;56220;Diesel;30;64.2;2.0;B
 A5;2014;Automatic;47600;Diesel;145;56.5;2.0;B
 A1;2017;Manual;20871;Petrol;150;56.5;1.4;B
 A1;2017;Manual;26716;Petrol;30;55.4;1.4;B
 A1;2015;Automatic;23000;Petrol;30;56.5;1.4;B
 A3;2015;Automatic;63000;Hybrid;0;188.3;1.4;B
 A4;2014;Automatic;17803;Petrol;200;42.2;2.0;B
 A3;2016;Manual;44658;Petrol;125;52.3;1.4;B
 A3;2016;Semi-Auto;74904;Diesel;125;57.6;2.0;B
 TT;2016;Manual;42553;Petrol;145;47.1;1.8;B
 A7;2014;Automatic;61140;Diesel;200;47.9;3.0;B
 A4;2016;Manual;65106;Diesel;20;70.6;2.0;B
 A3;2016;Manual;10460;Petrol;20;60.1;1.4;B
 A3;2014;Semi-Auto;56732;Diesel;125;57.6;2.0;B
 A3;2016;Manual;61191;Diesel;20;68.9;1.6;B
 A3;2018;Manual;16680;Petrol;145;62.8;1.0;B
 A1;2015;Manual;58223;Petrol;235;39.8;2.0;B
 A1;2017;Manual;23052;Diesel;150;76.3;1.6;B
 A3;2015;Semi-Auto;27869;Diesel;30;64.2;2.0;B
 A4;2016;Manual;44703;Diesel;0;74.3;2.0;B
 A4;2017;Manual;59300;Diesel;0;74.3;2.0;B
 A3;2016;Manual;20185;Petrol;20;61.4;1.4;B
 A3;2016;Manual;25726;Petrol;20;60.1;1.4;B
 Q3;2016;Manual;46816;Diesel;30;62.8;2.0;B
 A3;2016;Manual;34359;Petrol;125;52.3;1.4;B
 A4;2016;Manual;14900;Petrol;125;53.3;1.4;B
 A1;2017;Manual;8908;Petrol;150;67.3;1.0;B
 A1;2016;Manual;21516;Petrol;30;58.9;1.4;B
 Q5;2013;Semi-Auto;76859;Diesel;205;47.1;2.0;B
 A4;2016;Manual;35080;Diesel;0;74.3;2.0;B
 A3;2016;Manual;46000;Petrol;20;60.1;1.4;B
 A3;2017;Automatic;28831;Diesel;145;70.6;1.6;B
 Q3;2015;Manual;63000;Diesel;125;60.1;2.0;B
 A3;2016;Manual;14170;Petrol;20;60.1;1.4;B
 A3;2015;Manual;27376;Diesel;20;70.6;1.6;B
 A1;2017;Manual;19000;Petrol;150;55.4;1.4;B
 Q3;2015;Automatic;18693;Diesel;145;55.4;2.0;B
 A1;2017;Manual;9010;Petrol;150;55.4;1.4;B
 A4;2017;Manual;53000;Diesel;0;74.3;2.0;B
 A6;2016;Manual;35047;Diesel;30;65.7;2.0;B
 A4;2016;Semi-Auto;33319;Diesel;0;72.4;2.0;B
 A3;2016;Automatic;63180;Diesel;125;57.6;2.0;B
 A3;2017;Manual;14607;Petrol;20;60.1;1.0;B
 A3;2015;Semi-Auto;43793;Diesel;125;61.4;2.0;B
 A3;2015;Semi-Auto;5322;Petrol;30;58.9;1.4;B
 A3;2016;Manual;29709;Petrol;20;60.1;1.4;B
 A4;2017;Manual;57161;Diesel;20;70.6;2.0;B
 Q3;2015;Manual;38430;Diesel;145;56.5;2.0;B
 A4;2016;Semi-Auto;56767;Diesel;20;67.3;2.0;B
 A3;2016;Manual;29203;Petrol;30;58.9;1.4;B
 A3;2014;Automatic;36746;Diesel;125;57.6;2.0;B
 A3;2016;Automatic;34078;Diesel;125;58.9;2.0;B
 A4;2016;Manual;45485;Diesel;20;70.6;2.0;B
 A1;2017;Manual;16340;Petrol;145;55.4;1.4;B
 A1;2017;Automatic;26084;Petrol;145;58.9;1.4;B
 A4;2017;Manual;44156;Diesel;20;70.6;2.0;B
 A3;2016;Manual;33719;Petrol;30;58.9;1.4;B
 Q3;2015;Manual;50228;Diesel;125;60.1;2.0;B
 A1;2017;Semi-Auto;9362;Petrol;150;57.6;1.4;B
 A3;2015;Manual;33814;Diesel;20;68.9;2.0;B
 A1;2017;Semi-Auto;34700;Petrol;150;58.9;1.4;B
 A1;2017;Manual;22933;Diesel;20;72.4;1.6;B
 A1;2017;Manual;25168;Petrol;30;55.4;1.4;B
 A4;2016;Manual;40169;Diesel;0;72.4;2.0;B
 A1;2018;Manual;6605;Petrol;145;55.4;1.4;B
 Q3;2016;Manual;32726;Diesel;30;61.4;2.0;B
 A4;2017;Automatic;32097;Diesel;145;72.4;2.0;B
 A1;2017;Manual;29271;Petrol;30;55.4;1.4;B
 A4;2017;Manual;16390;Petrol;150;53.3;1.4;B
 A3;2016;Manual;21732;Petrol;125;52.3;1.4;B
 A3;2016;Semi-Auto;14298;Petrol;30;58.9;1.4;B
 Q3;2016;Manual;58689;Diesel;30;60.1;2.0;B
 A1;2017;Manual;7620;Petrol;150;56.5;1.4;B
 A6;2013;Automatic;59000;Diesel;150;55.4;2.0;B
 A1;2017;Manual;26000;Petrol;145;55.4;1.4;B
 A1;2016;Automatic;21000;Petrol;30;58.9;1.4;B
 A4;2016;Automatic;28325;Diesel;0;72.4;2.0;B
 Q3;2016;Manual;23484;Diesel;30;61.4;2.0;B
 A1;2016;Manual;22600;Petrol;30;55.4;1.4;B
 A1;2015;Automatic;41996;Petrol;30;56.5;1.4;B
 A1;2016;Semi-Auto;11349;Petrol;30;57.6;1.4;B
 A1;2017;Manual;47108;Petrol;150;56.5;1.4;B
 A1;2018;Automatic;14655;Petrol;150;64.2;1.0;B
 A1;2018;Manual;4552;Petrol;150;55.4;1.4;B
 A3;2017;Manual;29891;Petrol;20;61.4;1.4;B
 A1;2016;Manual;18365;Petrol;30;56.5;1.4;B
 A1;2016;Manual;18382;Petrol;30;56.5;1.4;B
 A7;2014;Automatic;75000;Diesel;200;48.7;3.0;B
 A1;2018;Manual;20280;Petrol;145;67.3;1.0;B
 A4;2017;Semi-Auto;70500;Diesel;20;72.4;2.0;B
 Q3;2015;Semi-Auto;57800;Diesel;145;54.3;2.0;B
 A4;2014;Semi-Auto;50041;Diesel;205;45.6;3.0;B
 A3;2017;Manual;29657;Diesel;20;67.3;2.0;B
 A3;2014;Manual;37991;Petrol;20;60.1;1.4;B
 A1;2017;Manual;19229;Petrol;30;56.5;1.4;B
 A1;2017;Manual;14723;Petrol;150;55.4;1.4;B
 A3;2016;Manual;47537;Petrol;125;52.3;1.4;B
 A1;2016;Semi-Auto;36668;Petrol;30;56.5;1.4;B
 A6;2016;Automatic;66716;Diesel;145;55.4;2.0;B
 A3;2015;Semi-Auto;35528;Petrol;20;60.1;1.4;B
 A4;2016;Manual;28000;Diesel;20;72.4;2.0;B
 A6;2014;Automatic;63000;Diesel;200;47.9;3.0;B
 A6;2016;Automatic;68000;Diesel;20;64.2;2.0;B
 Q3;2015;Manual;38497;Diesel;30;61.4;2.0;B
 A1;2017;Manual;13000;Petrol;145;55.4;1.4;B
 A1;2017;Manual;13253;Petrol;150;55.4;1.4;B
 A3;2016;Semi-Auto;37416;Diesel;30;62.8;2.0;B
 Q2;2017;Manual;23043;Petrol;150;55.4;1.0;B
 A1;2016;Manual;20905;Petrol;30;56.5;1.4;B
 A1;2017;Manual;8608;Petrol;145;67.3;1.0;B
 A1;2018;Manual;20106;Petrol;145;67.3;1.0;B
 A1;2017;Manual;23655;Petrol;30;55.4;1.4;B
 Q3;2015;Manual;48065;Diesel;145;55.4;2.0;B
 A4;2017;Manual;15097;Petrol;150;53.3;1.4;B
 A6;2014;Semi-Auto;57842;Diesel;30;61.4;2.0;B
 A4;2016;Manual;66000;Diesel;30;67.3;2.0;B
 A1;2017;Semi-Auto;7198;Petrol;150;64.2;1.0;B
 A1;2017;Manual;25253;Petrol;30;56.5;1.4;B
 Q3;2014;Semi-Auto;30000;Petrol;145;45.6;1.4;B
 Q3;2014;Manual;41800;Diesel;165;49.6;2.0;B
 A5;2015;Automatic;87660;Diesel;160;50.4;2.0;B
 A3;2016;Manual;43201;Diesel;20;67.3;2.0;B
 A4;2016;Automatic;53500;Diesel;20;70.6;2.0;B
 Q3;2015;Manual;53124;Diesel;145;55.4;2.0;B
 A3;2016;Manual;30895;Petrol;125;52.3;1.4;B
 Q5;2014;Manual;73874;Diesel;200;47.9;2.0;B
 A4;2017;Manual;15893;Petrol;145;51.4;1.4;B
 Q3;2015;Manual;29850;Diesel;30;61.4;2.0;B
 A6;2016;Semi-Auto;49458;Diesel;30;61.4;2.0;B
 Q3;2015;Manual;55259;Diesel;125;60.1;2.0;B
 Q3;2016;Semi-Auto;74392;Petrol;145;47.9;1.4;B
 Q3;2016;Manual;29744;Diesel;30;61.4;2.0;B
 A5;2015;Semi-Auto;24848;Diesel;125;58.9;2.0;B
 A3;2015;Manual;22364;Petrol;30;58.9;1.4;B
 A4;2013;Automatic;29923;Diesel;200;47.1;2.0;B
 A6;2014;Automatic;45295;Diesel;30;64.2;2.0;B
 A4;2016;Automatic;31088;Diesel;20;70.6;2.0;B
 A6;2016;Automatic;84252;Diesel;30;64.2;2.0;B
 A3;2015;Manual;23121;Petrol;30;58.9;1.4;B
 A3;2017;Automatic;26156;Petrol;145;58.9;1.4;B
 A1;2016;Manual;12100;Petrol;30;56.5;1.4;B
 A4;2017;Manual;23092;Petrol;145;52.3;1.4;B
 Q3;2014;Semi-Auto;35423;Diesel;200;47.9;2.0;B
 A5;2015;Semi-Auto;56875;Diesel;150;53.3;2.0;B
 A3;2016;Manual;34728;Petrol;30;57.6;1.4;B
 A6;2015;Semi-Auto;57192;Diesel;145;55.4;3.0;B
 Q3;2014;Manual;48708;Petrol;235;38.7;2.0;B
 A4;2016;Manual;21069;Petrol;150;51.4;1.4;B
 A4;2015;Manual;58774;Diesel;160;50.4;2.0;B
 Q3;2013;Semi-Auto;45793;Petrol;260;36.7;2.0;B
 A3;2016;Manual;27209;Petrol;30;56.5;1.2;B
 A3;2016;Manual;23844;Diesel;20;68.9;1.6;B
 A3;2015;Manual;39522;Petrol;20;60.1;1.4;B
 A1;2017;Manual;25168;Petrol;30;55.4;1.4;B
 A3;2015;Automatic;46181;Diesel;30;61.4;2.0;B
 A4;2017;Manual;27622;Petrol;125;53.3;1.4;B
 A4;2016;Manual;25634;Petrol;145;51.4;1.4;B
 Q3;2016;Manual;23549;Diesel;30;61.4;2.0;B
 A3;2018;Semi-Auto;22496;Diesel;145;72.4;1.6;B
 Q3;2015;Manual;26382;Diesel;150;56.5;2.0;B
 A3;2016;Manual;31000;Diesel;20;68.9;1.6;B
 A1;2018;Manual;20000;Petrol;150;67.3;1.0;B
 A4;2016;Automatic;37290;Diesel;0;72.4;2.0;B
 A1;2018;Automatic;50230;Petrol;145;55.4;1.4;B
 A5;2017;Manual;40677;Diesel;20;67.3;2.0;B
 TT;2016;Manual;51545;Petrol;150;47.1;1.8;B
 A3;2017;Manual;8956;Petrol;150;60.1;1.0;B
 A3;2014;Automatic;24076;Petrol;125;50.4;1.8;B
 A3;2015;Automatic;42195;Petrol;30;54.3;1.4;B
 A4;2015;Automatic;33333;Diesel;145;53.3;2.0;B
 Q3;2013;Semi-Auto;48627;Petrol;260;36.7;2.0;B
 A3;2017;Manual;17372;Diesel;20;70.6;1.6;B
 A3;2016;Automatic;46636;Diesel;125;61.4;2.0;B
 A6;2015;Automatic;57816;Diesel;125;57.6;2.0;B
 A6;2016;Manual;81517;Diesel;30;61.4;2.0;B
 A4;2016;Manual;46900;Petrol;125;50.4;2.0;B
 A3;2016;Manual;39238;Diesel;20;65.7;2.0;B
 Q3;2014;Manual;33679;Diesel;160;50.4;2.0;B
 A4;2016;Manual;14380;Diesel;0;74.3;2.0;B
 A6;2015;Automatic;81707;Diesel;30;64.2;2.0;B
 Q7;2012;Automatic;95600;Diesel;300;38.2;3.0;B
 Q3;2015;Automatic;60889;Diesel;160;50.4;2.0;B
 TT;2015;Manual;39255;Petrol;145;47.9;2.0;B
 A4;2017;Manual;40583;Petrol;145;51.4;1.4;B
 A3;2018;Manual;8507;Diesel;145;49.6;1.6;B
 Q5;2015;Manual;55411;Diesel;200;47.9;2.0;B
 A1;2016;Semi-Auto;29782;Petrol;30;58.9;1.4;B
 A1;2017;Manual;18190;Petrol;30;58.9;1.4;B
 Q3;2015;Semi-Auto;52625;Diesel;160;52.3;2.0;B
 A1;2017;Manual;13555;Petrol;30;55.4;1.4;B
 A3;2016;Manual;17856;Petrol;20;60.1;1.4;B
 A5;2015;Automatic;29442;Diesel;125;60.1;2.0;B
 A1;2017;Automatic;3000;Petrol;20;64.2;1.0;B
 A4;2017;Manual;19637;Petrol;145;53.3;1.4;B
 A6;2016;Semi-Auto;57365;Diesel;30;64.2;2.0;B
 A3;2017;Automatic;27743;Diesel;145;70.6;1.6;B
 Q3;2015;Manual;27736;Diesel;145;56.5;2.0;B
 A3;2017;Manual;31744;Petrol;125;50.4;2.0;B
 A7;2013;Automatic;76597;Diesel;200;47.9;3.0;B
 A4;2016;Manual;43124;Diesel;20;72.4;2.0;B
 Q5;2015;Automatic;89483;Diesel;205;47.1;2.0;B
 A6;2016;Manual;72967;Diesel;30;61.4;2.0;B
 Q3;2016;Manual;32704;Diesel;30;60.1;2.0;B
 A1;2016;Manual;23932;Diesel;20;72.4;1.6;B
 A3;2016;Manual;22288;Petrol;20;60.1;1.0;B
 A1;2018;Automatic;37310;Petrol;145;56.5;1.4;B
 A4;2015;Automatic;68003;Diesel;200;47.9;3.0;B
 A4;2016;Manual;44328;Diesel;20;70.6;2.0;B
 A1;2015;Manual;42255;Petrol;235;39.8;2.0;B
 A5;2014;Semi-Auto;39018;Diesel;145;53.3;2.0;B
 Q3;2016;Manual;69629;Diesel;30;60.1;2.0;B
 Q5;2013;Manual;63153;Diesel;200;47.9;2.0;B
 A1;2018;Manual;20546;Petrol;145;55.4;1.4;B
 A1;2017;Semi-Auto;35903;Petrol;145;56.5;1.4;B
 A4;2016;Semi-Auto;55068;Diesel;30;65.7;2.0;B
 A1;2017;Manual;24500;Petrol;145;55.4;1.4;B
 A1;2018;Manual;22500;Petrol;150;47.9;1.0;B
 A3;2017;Manual;38650;Petrol;20;60.1;1.0;B
 A1;2018;Manual;11066;Petrol;150;57.7;1.4;B
 Q3;2016;Manual;46750;Petrol;145;49.6;1.4;B
 Q2;2017;Manual;31475;Petrol;150;55.4;1.0;B
 A1;2017;Manual;21054;Petrol;30;58.9;1.4;B
 A4;2017;Manual;54983;Diesel;145;74.3;2.0;B
 A1;2017;Semi-Auto;15663;Petrol;150;56.5;1.4;B
 Q5;2014;Manual;65374;Diesel;200;47.9;2.0;B
 A3;2017;Manual;16023;Petrol;145;60.1;1.4;B
 A3;2015;Automatic;37000;Petrol;30;57.6;1.4;B
 Q3;2015;Semi-Auto;49652;Diesel;150;54.3;2.0;B
 A5;2014;Semi-Auto;52595;Diesel;150;53.3;2.0;B
 A3;2017;Manual;34800;Diesel;20;67.3;2.0;B
 A1;2016;Manual;28894;Petrol;30;58.9;1.4;B
 A6;2017;Automatic;77240;Diesel;145;67.3;2.0;B
 TT;2017;Manual;65290;Diesel;150;62.8;2.0;B
 A4;2016;Semi-Auto;77896;Diesel;20;67.3;2.0;B
 A6;2014;Semi-Auto;40700;Diesel;30;64.2;2.0;B
 A4;2016;Manual;51559;Diesel;20;70.6;2.0;B
 A4;2017;Manual;30795;Petrol;145;51.4;1.4;B
 A4;2016;Manual;32879;Diesel;0;74.3;2.0;B
 Q3;2014;Automatic;29998;Diesel;200;47.9;2.0;B
 A4;2016;Manual;17418;Diesel;0;74.3;2.0;B
 TT;2015;Manual;34897;Petrol;160;46.3;2.0;B
 A4;2016;Manual;39989;Diesel;0;74.3;2.0;B
 A3;2016;Manual;51091;Diesel;20;65.7;2.0;B
 A4;2016;Manual;51075;Diesel;30;62.8;2.0;B
 Q2;2017;Automatic;23714;Diesel;145;68.9;1.6;B
 A4;2017;Manual;21225;Diesel;145;72.4;2.0;B
 TT;2016;Manual;50403;Petrol;145;47.1;1.8;B
 A4;2017;Manual;45500;Diesel;20;68.9;2.0;B
 Q3;2015;Manual;33000;Diesel;125;60.1;2.0;B
 A5;2014;Manual;33507;Diesel;30;61.4;2.0;B
 A3;2016;Automatic;29928;Petrol;30;57.6;1.4;B
 A5;2016;Manual;63332;Diesel;125;58.9;2.0;B
 A6;2016;Manual;83023;Diesel;125;58.9;2.0;B
 A4;2017;Manual;42421;Diesel;30;67.3;2.0;B
 A5;2014;Semi-Auto;55800;Diesel;125;58.9;2.0;B
 A5;2014;Manual;23838;Diesel;30;60.1;2.0;B
 A3;2016;Manual;38786;Diesel;20;64.2;2.0;B
 Q3;2014;Manual;49987;Petrol;150;47.9;1.4;B
 A7;2014;Automatic;69743;Diesel;200;47.9;3.0;B
 A4;2016;Automatic;94175;Diesel;30;61.4;2.0;B
 A4;2017;Manual;58670;Diesel;0;74.3;2.0;B
 A4;2015;Manual;20434;Petrol;145;49.6;1.8;B
 A4;2016;Manual;49000;Diesel;30;64.2;2.0;B
 Q3;2016;Manual;29897;Petrol;125;50.4;1.4;B
 Q5;2014;Manual;60173;Diesel;205;47.9;2.0;B
 Q3;2016;Manual;29000;Diesel;30;61.4;2.0;B
 A4;2016;Manual;69600;Diesel;30;64.2;2.0;B
 A3;2016;Manual;20681;Petrol;30;58.9;1.4;B
 A1;2016;Manual;17344;Petrol;30;56.5;1.4;B
 A1;2016;Manual;21072;Petrol;30;70.6;1.4;B
 A1;2016;Manual;29999;Petrol;30;56.5;1.4;B
 A4;2017;Manual;24222;Petrol;145;53.3;1.4;B
 A4;2016;Manual;39824;Diesel;20;70.6;2.0;B
 A3;2015;Manual;45009;Diesel;20;67.3;2.0;B
 A4;2016;Manual;28555;Diesel;20;70.6;2.0;B
 A7;2013;Automatic;75775;Diesel;200;47.9;3.0;B
 A4;2016;Automatic;49093;Diesel;30;64.2;2.0;B
 A4;2015;Manual;20995;Diesel;30;64.2;2.0;B
 A1;2018;Manual;14992;Petrol;150;55.4;1.4;B
 Q3;2016;Manual;45202;Petrol;125;50.4;1.4;B
 A1;2018;Manual;7326;Petrol;150;47.9;1.0;B
 TT;2015;Manual;34889;Diesel;30;62.8;2.0;B
 A4;2016;Semi-Auto;50900;Diesel;20;67.3;2.0;B
 A4;2012;Automatic;30100;Petrol;165;45.6;2.0;B
 TT;2016;Manual;37352;Diesel;30;62.8;2.0;B
 A1;2016;Manual;28150;Petrol;30;56.5;1.4;B
 A5;2014;Automatic;61346;Diesel;160;49.6;3.0;B
 A5;2015;Automatic;46374;Diesel;125;58.9;2.0;B
 A4;2015;Manual;53065;Diesel;30;61.4;2.0;B
 A4;2014;Automatic;33894;Diesel;200;47.1;0.0;B
 A4;2016;Manual;22000;Petrol;145;51.4;1.4;B
 A1;2017;Manual;11000;Petrol;30;58.9;1.4;B
 A1;2016;Semi-Auto;13282;Petrol;30;56.5;1.4;B
 A3;2015;Automatic;32623;Petrol;30;58.9;1.4;B
 Q3;2014;Semi-Auto;33178;Diesel;205;47.9;2.0;B
 A5;2015;Manual;28392;Diesel;30;60.1;2.0;B
 A3;2017;Manual;44151;Diesel;20;65.7;2.0;B
 A3;2017;Manual;27073;Petrol;20;60.1;1.4;B
 A3;2017;Manual;34900;Petrol;30;58.9;1.4;B
 A4;2017;Manual;30000;Petrol;145;50.4;2.0;B
 A3;2015;Semi-Auto;28294;Hybrid;0;188.3;1.4;B
 A5;2014;Automatic;57099;Diesel;125;58.9;2.0;B
 A3;2015;Semi-Auto;30530;Diesel;30;64.2;2.0;B
 A1;2017;Semi-Auto;15660;Petrol;145;56.5;1.4;B
 A3;2018;Manual;14872;Petrol;145;48.7;1.0;B
 A4;2015;Manual;29000;Diesel;20;68.9;2.0;B
 A1;2017;Automatic;30658;Petrol;30;56.5;1.4;B
 A1;2017;Manual;38000;Petrol;30;56.5;1.4;B
 A3;2017;Manual;24842;Petrol;20;60.1;1.0;B
 A3;2017;Manual;24964;Petrol;20;60.1;1.4;B
 A3;2015;Manual;39522;Petrol;20;60.1;1.4;B
 A6;2016;Semi-Auto;76968;Diesel;30;61.4;2.0;B
 Q3;2015;Semi-Auto;58549;Petrol;145;47.9;1.4;B
 A4;2016;Automatic;68148;Diesel;30;67.3;2.0;B
 A1;2017;Manual;25417;Diesel;0;76.3;1.6;B
 A4;2016;Semi-Auto;66832;Diesel;30;64.2;3.0;B
 A1;2017;Semi-Auto;15132;Petrol;150;57.6;1.4;B
 A1;2018;Manual;5000;Petrol;145;47.9;1.0;B
 A1;2017;Semi-Auto;29900;Diesel;145;72.4;1.6;B
