Company;TypeName;Inches;Cpu;Ram;Memory;Gpu;OpSys;Weight;Price_euros
Acer;Ultrabook;13.3;Intel Core i5 7Y54 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;Windows 10;1.12kg;989.00
Dell;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;1085.00
Lenovo;2 in 1 Convertible;14;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.42kg;2824.00
Vero;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.3kg;260.00
Xiaomi;Ultrabook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce MX150;No OS;1.3kg;999.90
Lenovo;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce MX150;No OS;2.8kg;698.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;1.62kg;839.00
HP;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Nvidia GeForce 930MX;Windows 10;2.5kg;914.00
Razer;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;32GB;1TB SSD;Nvidia GeForce GTX 1080;Windows 10;3.49kg;6099.00
HP;Notebook;13.3;Intel Core i5 8250U 1.6GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.49kg;959.00
HP;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3.35kg;1379.00
HP;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX ;Windows 10;2.5kg;1045.00
Dell;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.65kg;1845.00
Lenovo;Notebook;15.6;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.1kg;493.00
Acer;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Windows 10;2.23kg;742.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.2kg;1749.00
Dell;Workstation;15.6;Intel Xeon E3-1505M V6 3GHz;16GB;256GB SSD +  1TB HDD;Nvidia Quadro M1200;Windows 10;2.8kg;3055.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1060;No OS;2.4kg;1398.00
Dell;Notebook;15.6;Intel Core i3 7100U 2.4GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.3kg;439.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;1949.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1449.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.2kg;597.00
Acer;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Linux;2.4kg;779.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.9kg;1407.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;2.1kg;349.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;2.2kg;549.00
Huawei;Ultrabook;13;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.05kg;1499.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 530;Windows 10;1.4kg;931.88
Lenovo;Notebook;17.3;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 940MX;No OS;2.8kg;589.00
HP;Notebook;14;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.63kg;1031.00
Dell;Ultrabook;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6kg;1149.00
Dell;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.62kg;1279.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;AMD Radeon 520;Linux;2.2kg;677.35
Lenovo;2 in 1 Convertible;14;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.74kg;899.00
Toshiba;Ultrabook;13.3;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1363.00
HP;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;2.1kg;794.00
Dell;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;4.42kg;2456.34
Acer;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;2.2kg;832.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;16GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.3kg;859.01
Asus;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 920MX ;Windows 10;2kg;769.00
Asus;Notebook;17.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD +  500GB HDD;Nvidia GeForce GTX 950M;Windows 10;2.69kg;891.00
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD FirePro W4190M ;Windows 10;1.9kg;1269.00
Asus;Notebook;15.6;Intel Core i3 7100U 2.4GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.37kg;398.99
HP;Notebook;15.6;AMD E-Series 9000e 1.5GHz;4GB;500GB HDD;AMD Radeon R2;Windows 10;2.1kg;330.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.2kg;1499.00
Dell;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;859.00
Acer;2 in 1 Convertible;13.3;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.6kg;689.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;16GB;256GB SSD;AMD Radeon R7 M445;Linux;2.36kg;899.00
Acer;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Linux;2.1kg;390.00
Asus;Notebook;15.6;AMD A10-Series A10-9620P 2.5GHz;4GB;128GB SSD +  1TB HDD;AMD Radeon R5 M430;Windows 10;2.2kg;575.00
Asus;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;32GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1080;Windows 10;4.7kg;3890.00
Acer;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;846.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;8GB;128GB SSD;Intel HD Graphics 520;Windows 10;2.2kg;589.00
Asus;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 150MX;Windows 10;2.1kg;1145.00
Asus;Notebook;17.3;Intel Core i7 7500U 2.7GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 950M;No OS;2.69kg;889.00
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.56kg;879.00
Lenovo;2 in 1 Convertible;13.9;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.38kg;1079.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.2kg;985.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.04kg;559.00
Asus;Gaming;17.3;Intel Core i7 7820HK 2.9GHz;16GB;256GB SSD;Nvidia GeForce GTX 1080;Windows 10;3.6kg;2999.00
HP;Notebook;13.3;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel UHD Graphics 620;Windows 10;1.49kg;675.00
Apple;Ultrabook;13.3;Intel Core i5 3.1GHz;8GB;512GB SSD;Intel Iris Plus Graphics 650;macOS;1.37kg;2040.00
Dell;2 in 1 Convertible;15.6;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;2.08kg;819.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.3kg;1799.00
Asus;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;1TB HDD;AMD Radeon R5 M420;Windows 10;1.68kg;469.00
Lenovo;2 in 1 Convertible;13.9;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.37kg;1849.00
Acer;Notebook;17.3;Intel Core i3 7130U 2.7GHz;4GB;256GB SSD;Nvidia GeForce MX130;Windows 10;3kg;702.00
Dell;Ultrabook;13.3;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.41kg;949.00
HP;Notebook;15.6;AMD A6-Series A6-9220 2.5GHz;8GB;128GB SSD;AMD Radeon R4 Graphics;Windows 10;1.91kg;445.90
HP;Notebook;17.3;Intel Core i7 8550U 1.8GHz;16GB;1TB HDD;Nvidia GeForce MX150;Windows 10;2.9kg;1059.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.14kg;2499.00
Lenovo;2 in 1 Convertible;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;512GB SSD;Nvidia GeForce GTX 1050M;Windows 10;2kg;1699.00
Dell;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;1142.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;256GB SSD;Intel HD Graphics 520;No OS;2.2kg;444.00
HP;Notebook;15.6;Intel Core i5 8250U 1.6GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.1kg;722.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.18kg;657.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R5 M430;Windows 10;2.24kg;565.00
Dell;2 in 1 Convertible;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.67kg;799.00
Asus;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;8GB;512GB SSD +  512GB SSD;Intel UHD Graphics 620;Windows 10;1.1kg;1499.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics 620;No OS;2.2kg;467.00
HP;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.5kg;1018.00
Lenovo;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.05kg;880.00
Apple;Ultrabook;13.3;Intel Core i5 2.9GHz;8GB;512GB SSD;Intel Iris Graphics 550;macOS;1.37kg;1958.90
Asus;Gaming;17.3;AMD Ryzen 1700 3GHz;16GB;256GB SSD +  1TB HDD;AMD Radeon RX 580;Windows 10;3.2kg;1549.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;AMD Radeon 520;Linux;2.14kg;735.07
Lenovo;2 in 1 Convertible;14;Intel Core i7 6600U 2.6GHz;16GB;512GB SSD;Intel HD Graphics 520;Windows 10;1.36kg;2499.00
Toshiba;Notebook;15.6;Intel Core i7 6500U 2.5GHz;8GB;500GB HDD;Nvidia GeForce 930M;Windows 10;2.2kg;812.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;12GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.3kg;713.07
Dell;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Linux;2.8kg;1099.00
Acer;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Nvidia GeForce MX130;Windows 10;2.2kg;745.00
Lenovo;Notebook;17.3;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.8kg;489.00
Lenovo;Notebook;17.3;Intel Core i7 8550U 1.8GHz;8GB;2TB HDD;Nvidia GeForce MX150;No OS;2.8kg;849.00
Lenovo;Notebook;17.3;Intel Core i7 7500U 2.7GHz;6GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.8kg;859.00
Dell;Notebook;15.6;Intel Core i3 6006U 2.0GHz;4GB;1TB HDD;AMD Radeon R5 M430;Linux;2.25kg;428.00
Lenovo;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;829.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.2kg;579.00
Acer;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Nvidia GeForce MX150;Windows 10;3kg;951.00
Acer;Notebook;15.6;Intel Core i7 7500U 2.7GHz;12GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.15kg;659.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 630;Windows 10;1.95kg;1097.00
Asus;Ultrabook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7kg;977.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1179.00
Lenovo;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;659.01
Acer;Notebook;15.6;Intel Celeron Dual Core 3205U 1.5GHz;2GB;16GB SSD;Intel HD Graphics;Chrome OS;2.19kg;199.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;3kg;1187.00
HP;Notebook;17.3;Intel Core i3 6006U 2GHz;8GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.54kg;489.00
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2kg;1829.00
Lenovo;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;2.05kg;739.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;1TB HDD;Nvidia GeForce GTX 1060;Windows 10;3.2kg;1299.00
Acer;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050 Ti;Linux;2.5kg;979.00
Dell;Workstation;17.3;Intel Core i7 7820HQ 2.9GHz;16GB;256GB SSD;Nvidia Quadro M1200;Windows 10;3.42kg;2884.86
Lenovo;Notebook;15.6;AMD A10-Series 9600P 2.4GHz;6GB;1TB HDD;AMD Radeon R5 430;Windows 10;2.4kg;499.00
Asus;Ultrabook;15.6;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Nvidia GeForce 940MX;Windows 10;1.63kg;1468.00
Asus;Notebook;14;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;509.00
Asus;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.9kg;2122.00
Lenovo;Notebook;17.3;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Nvidia GeForce GTX 940M;Windows 10;2.8kg;649.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Nvidia GeForce 940MX;No OS;2.2kg;549.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1265.00
Lenovo;Notebook;15.6;Intel Pentium Quad Core N4200 1.1GHz;4GB;1TB HDD;Intel HD Graphics 505;No OS;2.2kg;359.99
HP;2 in 1 Convertible;13.3;Intel Core i7 7600U 2.8GHz;16GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.28kg;1975.00
Toshiba;Notebook;15.6;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.2kg;1043.00
Lenovo;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;2.3kg;819.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.86kg;469.00
Lenovo;Notebook;13.3;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.1kg;999.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;16GB;1TB SSD;Intel UHD Graphics 620;Windows 10;1.21kg;2499.00
MSI;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;2.8kg;2099.00
Acer;Notebook;15.6;AMD A8-Series 7410 2.2GHz;8GB;256GB SSD;AMD Radeon R5;Windows 10;2.23kg;469.00
Asus;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3350 1.1GHz;2GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.1kg;275.00
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.33kg;844.00
HP;2 in 1 Convertible;13.3;Intel Core i7 8550U 1.8GHz;16GB;1TB SSD;Intel UHD Graphics 620;Windows 10;1.29kg;2449.00
Lenovo;Notebook;13.3;Intel Celeron Dual Core 3855U 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 510;Chrome OS;1.45kg;459.90
HP;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;980.00
Acer;Notebook;11.6;Intel Pentium Quad Core N3710 1.6GHz;4GB;128GB Flash Storage;Intel HD Graphics 405;Windows 10;1.4kg;485.00
HP;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1292.00
Lenovo;Notebook;17.3;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Nvidia GeForce 920MX;Windows 10;2.79kg;589.00
Asus;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;1094.00
HP;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;1TB HDD;Intel UHD Graphics 620;Windows 10;2.1kg;902.00
Acer;Notebook;15.6;AMD A12-Series 9720P 2.7GHz;8GB;256GB SSD;AMD Radeon RX 540;Windows 10;2.2kg;659.00
Lenovo;Notebook;14;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.44kg;292.00
Acer;Notebook;15.6;Intel Core i5 7200U 2.5GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.23kg;549.00
Asus;Ultrabook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;1.7kg;1049.90
HP;Ultrabook;12.5;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1335.00
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;32GB;1TB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;2639.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.7kg;1199.00
Toshiba;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.0kg;943.00
Asus;Notebook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD +  1TB HDD;Intel HD Graphics 620;Windows 10;2kg;1334.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;1.85kg;449.00
Asus;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.5kg;999.00
HP;Notebook;14;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1268.00
Dell;Ultrabook;15.6;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 940MX;Windows 10;1.9kg;1049.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;1144.00
Asus;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;Linux;2kg;274.99
Dell;Notebook;15.6;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Nvidia GeForce 940MX;Windows 10;2kg;1142.75
Dell;Notebook;15.6;Intel Celeron Dual Core N3060 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Linux;2.2kg;274.90
Lenovo;Notebook;15.6;AMD A12-Series 9720P 3.6GHz;12GB;2TB HDD;AMD Radeon 530;Windows 10;2.2kg;899.00
HP;Notebook;15.6;Intel Core i3 7100U 2.4GHz;8GB;1TB HDD;Nvidia GeForce 930MX ;Windows 10;2.1kg;716.00
Lenovo;2 in 1 Convertible;13.9;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Intel UHD Graphics 620;Windows 10;1.4kg;2099.00
Dell;Ultrabook;13.3;Intel Core i7 8550U 1.8GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.2kg;1579.00
Lenovo;Gaming;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  2TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.4kg;1129.00
HP;Notebook;14;Intel Celeron Dual Core N3060 1.6GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.44kg;279.00
Dell;Ultrabook;15.6;Intel Core i7 8650U 1.9GHz;16GB;512GB SSD +  256GB SSD;Intel UHD Graphics 620;Windows 10;1.88kg;1607.96
Asus;2 in 1 Convertible;11.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;32GB Flash Storage;Intel HD Graphics 500;Windows 10;1.5kg;375.00
Dell;Ultrabook;15.6;Intel Core i5 8250U 1.6GHz;8GB;1TB HDD;AMD Radeon 530;Windows 10;1.9kg;663.00
Dell;Notebook;15.6;Intel Core i7 7700HQ 2.8GHz;16GB;512GB SSD;Nvidia GeForce GTX 1050;Windows 10;2.06kg;2027.42
HP;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.84kg;1304.00
MSI;Gaming;17.3;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1409.00
HP;Workstation;15.6;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD;Nvidia Quadro M1200;Windows 10;2.6kg;1738.27
Toshiba;Notebook;15.6;Intel Core i7 6500U 2.5GHz;16GB;512GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;1403.00
Dell;Notebook;15.6;Intel Core i7 8550U 1.8GHz;8GB;128GB SSD +  2TB HDD;AMD Radeon 530;Windows 10;2.02kg;970.90
Lenovo;Notebook;15.6;Intel Celeron Dual Core N3350 1.1GHz;4GB;1TB HDD;Intel HD Graphics 500;No OS;2.2kg;321.99
Dell;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.65kg;999.00
Dell;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;2TB HDD;Intel HD Graphics 620;Windows 10;2.36kg;557.37
Dell;Notebook;14;Intel Core i5 7300U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1427.00
HP;Notebook;15.6;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.86kg;439.00
Asus;Notebook;14;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2kg;945.00
Lenovo;Notebook;17.3;Intel Core i5 7200U 2.5GHz;6GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 940MX;Windows 10;2.8kg;719.00
HP;Notebook;15.6;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;1.86kg;639.00
Lenovo;Notebook;15.6;Intel Core i3 6006U 2GHz;8GB;256GB SSD;Nvidia GeForce 920MX ;No OS;2.2kg;499.00
HP;Notebook;15.6;Intel Pentium Quad Core N3710 1.6GHz;8GB;2TB HDD;Intel HD Graphics 405;Windows 10;2.04kg;389.00
Dell;Notebook;17.3;Intel Core i5 8250U 1.6GHz;8GB;128GB SSD +  1TB HDD;AMD Radeon 530;Windows 10;2.8kg;1085.00
Lenovo;Gaming;15.6;Intel Core i5 7300HQ 2.5GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;No OS;2.4kg;809.00
Dell;Notebook;15.6;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R7 M445;Windows 10;2.33kg;899.00
HP;Ultrabook;14;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.36kg;1750.00
Asus;2 in 1 Convertible;15.6;Intel Core i7 7500U 2.7GHz;12GB;512GB SSD +  2TB HDD;Nvidia GeForce GT 940MX;Windows 10;2.26kg;1099.00
Acer;Notebook;15.6;AMD A9-Series 9420 3GHz;4GB;128GB SSD;AMD Radeon R5;Windows 10;2.1kg;426.00
